RegNo,Name,Age,Gender,Branch,Year,Section,CollegeName,MentorName,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,IAT1,IAT2,IAT3,Attendance,StudyHoursPerDay,Backlogs,FatherIncome,MotherIncome,HasSiblings,SiblingCount,StressScore,SleepHours,MentalHealthIndex,ExerciseHours,ScreenTime,RiskLevel
CMR2023000,Allison Hill,23,Male,CSE,3,A,CMRIT,Prof. Kavya,5.7,5.51,8.7,7.73,7.95,5.16,5.47,6.16,6.79,29,20,28,88,2,6,57124,147853,False,0,48,7,0.71,12,1,High
CMR2023001,Noah Rhodes,20,Female,AIML,2,B,CMRIT,Dr. Ramesh,5.46,5.48,9.24,8.02,9.04,8.65,7.68,9.87,7.05,26,21,28,94,3,1,81854,99800,True,0,25,9,0.46,4,2,Medium
CMR2023002,Angie Henderson,21,Female,EEE,3,A,CMRIT,Dr. Arvind,6.78,8.35,8.51,8.42,5.36,8.17,7.67,6.22,7.6,27,26,24,98,5,3,62570,90008,True,1,24,6,0.58,1,4,Low
CMR2023003,Daniel Wagner,23,Female,EEE,4,A,CMRIT,Dr. Arvind,5.7,8.72,7.69,8.74,7.14,7.92,6.81,9.99,7.84,22,28,27,44,6,6,28831,17351,True,1,100,5,0.85,6,10,High
CMR2023004,Cristian Santos,22,Female,MECH,3,C,CMRIT,Dr. Ramesh,8.4,5.57,9.42,8.75,8.84,6.7,6.47,5.79,7.95,20,24,28,74,8,0,51832,138085,True,2,84,8,0.44,5,3,High
CMR2023005,Connie Lawrence,22,Female,EEE,1,A,CMRIT,Dr. Arvind,9.39,9.16,6.54,5.29,9.39,9.73,5.43,7.43,9.28,21,28,22,88,3,4,38657,129592,True,2,87,8,0.6,3,9,High
CMR2023006,Abigail Shaffer,21,Female,EEE,4,A,CMRIT,Prof. Kavya,6.12,6.69,7.94,6.15,6.1,5.35,8.16,6.14,6.58,20,25,21,76,7,3,139782,67391,False,0,82,5,0.68,11,10,High
CMR2023007,Gina Moore,21,Female,AIML,1,A,CMRIT,Prof. Meena,6.77,7.06,9.32,5.27,8.27,8.23,5.3,8.64,6.91,21,23,23,95,1,7,54862,145584,False,0,37,7,0.43,7,4,High
CMR2023008,Gabrielle Davis,22,Male,CSE,1,A,CMRIT,Prof. Kavya,5.83,7.43,6.07,7.01,5.29,6.89,9.93,6.33,6.63,27,24,26,87,5,0,132577,45579,True,2,47,4,0.71,8,1,High
CMR2023009,Ryan Munoz,18,Female,MECH,2,A,CMRIT,Dr. Ramesh,9.26,5.34,5.34,9.31,7.02,9.71,7.85,7.89,7.31,20,29,21,56,6,2,114897,142044,False,0,53,5,0.77,5,4,High
CMR2023010,Monica Herrera,23,Female,EEE,3,A,CMRIT,Dr. Ramesh,7.29,9.99,9.98,5.37,6.07,6.33,9.67,9.4,7.5,23,25,24,59,1,2,46352,119867,False,0,98,9,0.67,10,9,High
CMR2023011,Jamie Arnold,20,Male,CSE,2,B,CMRIT,Dr. Arvind,8.02,8.59,6.02,8.17,6.32,7.44,9.53,9.23,7.7,21,30,26,75,6,8,77530,16557,True,2,36,9,0.99,2,8,High
CMR2023012,Lisa Hensley,18,Male,CSE,2,C,CMRIT,Dr. Ramesh,9.17,7.91,5.74,5.64,6.54,9.49,8.98,9.3,7.12,25,23,30,99,3,2,70412,31946,False,0,91,7,0.98,11,3,High
CMR2023013,Michele Williams,19,Female,CSE,2,C,CMRIT,Dr. Arvind,8.91,7.06,8.35,8.68,6.24,5.8,8.51,6.91,8.25,20,27,23,65,5,4,57316,125665,False,0,59,5,0.46,10,4,Medium
CMR2023014,Dylan Miller,18,Female,ECE,4,C,CMRIT,Dr. Arvind,9.7,5.58,9.85,5.89,9.81,6.33,5.54,7.17,7.48,25,26,29,40,8,8,139066,35315,False,0,93,5,0.48,11,7,High
