RegNo,Name,Age,Gender,Branch,Year,Section,CollegeName,MentorName,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,IAT1,IAT2,IAT3,Attendance,StudyHoursPerDay,Backlogs,FatherIncome,MotherIncome,HasSiblings,SiblingCount,StressScore,SleepHours,MentalHealthIndex,ExerciseHours,ScreenTime,RiskLevel
CMR2023078,Steve Sanchez,18,Female,AIML,4,B,CMRIT,Dr. Ramesh,7.79,8.36,6.54,5.11,6.27,5.02,6.09,5.37,6.32,26,25,21,89,6,5,146862,20795,True,3,24,6,0.59,12,3,Medium
CMR2023019,Carla Gray,20,Female,EEE,1,A,CMRIT,Prof. Meena,6.95,8.85,9.73,5.1,9.4,7.88,7.38,9.71,7.9,24,26,26,61,6,2,146091,148165,True,3,48,6,0.61,0,7,Medium
CMR2023086,Shirley Suarez,18,Male,MECH,4,A,CMRIT,Dr. Ramesh,7.65,6.37,9.89,5.09,9.07,8.37,9.03,9.55,8.13,21,21,28,65,7,3,44032,68168,True,2,65,6,0.86,1,6,Medium
CMR2023539,David Davis,19,Male,AIML,1,A,CMRIT,Dr. Ramesh,6.48,6.04,9.14,8.4,5.34,7.26,5.59,9.72,6.26,30,26,20,98,7,0,83699,94959,False,0,67,5,0.51,9,10,Medium
CMR2023637,Randy Cannon,20,Male,CSE,3,B,CMRIT,Dr. Arvind,7.89,9.77,7.49,8.58,5.58,9.47,8.02,9.24,8.13,29,27,20,69,8,7,53967,50699,False,0,28,5,0.34,3,10,High
CMR2023807,Robert Gonzales,19,Male,ECE,1,C,CMRIT,Dr. Arvind,9.46,5.78,9.24,8.51,8.47,8.1,9.33,7.89,7.62,24,28,24,78,1,0,136960,22290,True,0,21,6,0.94,11,7,Low
CMR2023365,Kenneth Lewis,21,Male,AIML,4,A,CMRIT,Dr. Ramesh,9.08,7.34,6.57,8.21,9.14,5.82,9.02,8.23,7.93,23,24,21,74,1,1,32367,25397,False,0,97,6,0.32,4,3,High
CMR2023676,Kristen Rowe,23,Female,CSE,1,C,CMRIT,Dr. Ramesh,9.09,5.95,6.92,5.46,5.31,8.62,9.49,6.45,7.52,25,30,23,81,2,3,27295,138781,True,3,55,7,0.85,12,9,Medium
CMR2023310,Dr. Paul Morgan,21,Female,MECH,1,B,CMRIT,Prof. Kavya,7.89,5.64,9.72,5.05,9.05,9.17,6.7,7.1,6.76,30,26,28,80,6,6,83548,90479,True,0,37,5,0.98,5,10,High
CMR2023941,Virginia Casey,20,Female,CSE,4,C,CMRIT,Prof. Kavya,6.13,6.43,8.9,8.63,9.89,5.68,6.17,9.81,7.71,30,30,27,93,3,7,127021,145109,True,2,62,7,0.5,11,5,High
CMR2023874,Jesse Lynch,20,Male,AIML,4,B,CMRIT,Prof. Meena,8.09,7.97,5.93,5.83,7.37,6.18,9.67,5.8,7.1,28,25,30,44,6,3,41881,17251,True,1,43,4,0.7,4,1,High
CMR2024063,Ralph Yoder,19,Male,MECH,3,B,CMRIT,Prof. Meena,7.83,5.06,6.1,9.04,9.31,7.27,7.46,7.46,7.43,27,20,23,59,1,2,13561,95544,False,0,84,7,0.94,14,10,High
CMR2023002,Angie Henderson,21,Female,EEE,3,A,CMRIT,Dr. Arvind,6.78,8.35,8.51,8.42,5.36,8.17,7.67,6.22,7.6,27,26,24,98,5,3,62570,90008,True,1,24,6,0.58,1,4,Low
CMR2023735,Laura Jackson,19,Female,EEE,1,A,CMRIT,Prof. Kavya,9.39,6.15,6.1,6.27,7.34,5.34,8.46,8.35,7.77,26,27,25,55,0,2,7806,119698,False,0,38,7,0.73,5,6,High
CMR2023630,Rhonda Chavez,20,Female,EEE,1,B,CMRIT,Prof. Meena,8.96,7.25,7.21,6.49,5.84,7.46,6.69,6.69,8.11,30,24,28,72,2,4,94007,115615,False,0,60,9,0.89,4,3,Medium
CMR2023861,Bonnie Valencia,20,Female,CSE,3,A,CMRIT,Prof. Kavya,8.02,8.94,7.73,5.89,9.02,5.12,6.05,6.91,7.45,22,20,23,82,7,8,139674,102451,False,0,55,9,0.98,11,1,High
CMR2023056,Timothy Duncan,18,Female,AIML,2,A,CMRIT,Dr. Arvind,9.59,7.36,9.16,8.79,7.35,8.08,9.53,5.1,8.72,23,22,28,80,7,1,143352,115953,True,2,50,6,0.39,3,7,Low
CMR2024088,Katherine Gallagher,19,Male,CIVIL,3,B,CMRIT,Prof. Meena,6.53,5.39,8.1,6.86,6.86,5.44,6.6,7.55,6.53,20,27,28,79,4,1,24757,28889,True,2,22,6,0.8,3,5,Medium
CMR2023089,Aimee Montoya,20,Female,ECE,1,C,CMRIT,Dr. Arvind,8.92,7.25,6.14,7.77,6.88,5.93,7.93,6.9,8.09,29,24,23,87,6,5,24269,26505,False,0,39,7,0.8,10,3,Low
CMR2023947,Ariel Sandoval,20,Female,CIVIL,3,A,CMRIT,Dr. Ramesh,6.53,8.13,6.57,9.79,7.89,9.85,7.09,6.92,8.13,25,21,22,87,5,0,19217,115546,True,3,73,9,0.64,9,4,Medium
CMR2023260,Katie Suarez,23,Male,CIVIL,4,A,CMRIT,Dr. Ramesh,9.3,5.42,8.01,9.34,9.5,7.04,6.82,8.29,7.96,21,26,22,61,6,3,66876,34342,True,2,83,4,0.47,1,6,High
CMR2024099,Steven Howard,19,Male,ECE,1,B,CMRIT,Prof. Meena,8.72,7.26,9.24,9.77,5.92,5.39,6.84,7.82,7.99,20,24,21,91,1,2,140419,48516,True,2,28,7,0.58,0,9,Low
CMR2023611,Michael Lopez,21,Male,EEE,1,B,CMRIT,Prof. Meena,9.86,5.15,7.21,8.75,6.55,9.72,8.62,7.6,7.5,23,25,30,49,6,5,99844,68953,True,0,56,4,0.93,6,2,High
